Situacao da Compra,Tipo de Compra,Data da Compra,Campanha de Vendas,Vendedor,Usuario baixa,Comprador,Cpf do Comprador,RA,Telefone do Comprador,Endereco,Produto,Tamanho,Quantidade,Valor Unidade,Valor Total,Valor Liquido,Metodo de Pagamento,Observacoes,Valor Total (float)
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Maria Cecília Maggini Müller Corrêa,Maria Cecília Maggini Müller Corrêa,10977532712,,21972021107,,Body ESPM RIO - JUCS 2025,M,1,"R$ 50,00","R$ 50,00","R$ 50,00",Pix,,50.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Leonardo Bruno Silva Varricchio,Leonardo Bruno Silva Varricchio,16256990773,,#ERROR!,,College ESPM RIO - JUCS 2025,GG,1,"R$ 240,00","R$ 240,00","R$ 240,00",Pix,,240.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Leonardo Bruno Silva Varricchio,Leonardo Bruno Silva Varricchio,16256990773,,#ERROR!,,Camisa RITA - JUCS 2025,GG,1,"R$ 55,00","R$ 55,00","R$ 55,00",Pix,,55.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Leonardo Bruno Silva Varricchio,Leonardo Bruno Silva Varricchio,16256990773,,#ERROR!,,Boné 5 Panel - JUCS 2025,U,1,"R$ 60,00","R$ 60,00","R$ 60,00",Pix,,60.0
Aprovado,Aplicativo,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Leonardo Jun,Leonardo Jun,38055288844,,(11)98174-5397,,College ESPM RIO - JUCS 2025,GG,1,"R$ 326,18","R$ 326,18","R$ 300,00",Cartão de Crédito em 1 Vez(es),,326.18
Aprovado,Lojinha,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Gabriela Wentrick Feijó,Gabriela Wentrick Feijó,1638650195,,(61) 98169-2989,,College ESPM RIO - JUCS 2025,M,1,"R$ 315,85","R$ 315,85","R$ 300,00",Pix,,315.85
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Bernardo Nunes Cordeiro Ramos,ana clara pontes,16625701718,,21 99914-1399,,Corta Vento ESPM RIO - JUCS 2025,M,1,"R$ 143,00","R$ 143,00","R$ 143,00",Pix,,143.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Julia Silva Nascimento,Julia Silva Nascimento,13125088763,,,,Calça Moletom ESPM Rio - JUCS 2025,G,1,"R$ 101,00","R$ 101,00","R$ 101,00",Pix,,101.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,luana assis,luana assis,17261645788,,,,Calça Moletom ESPM Rio - JUCS 2025,M,1,"R$ 101,00","R$ 101,00","R$ 101,00",Pix,,101.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Dominique Manhães,Dominique Manhães,15404896710,,(21)97223-8135,,Camisa JACA E RITA - JUCS 2025,M,1,"R$ 65,00","R$ 65,00","R$ 65,00",Pix,,65.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Dominique Manhães,Dominique Manhães,15404896710,,(21)97223-8135,,College ESPM RIO - JUCS 2025,G,1,"R$ 265,00","R$ 265,00","R$ 265,00",Pix,,265.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Dominique Manhães,Dominique Manhães,15404896710,,(21)97223-8135,,Bandana - JUCS 2025,U,1,"R$ 50,00","R$ 50,00","R$ 50,00",Pix,,50.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Jonathan Souto,Jonathan Souto,19766445770,,(21)99674-1987,,Bandana - JUCS 2025,U,1,"R$ 60,00","R$ 60,00","R$ 60,00",Pix,,60.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Bernardo Nunes Cordeiro Ramos,gabriela paes neves costa,20750507756,,21 99914-1399,,College ESPM RIO - JUCS 2025,GG,1,"R$ 300,00","R$ 300,00","R$ 300,00",Pix,,300.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Julia Silva Nascimento,Julia Silva Nascimento,13125088763,,,,Calça Moletom ESPM Rio - JUCS 2025,M,1,"R$ 101,00","R$ 101,00","R$ 101,00",Pix,,101.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Julia Silva Nascimento,Julia Silva Nascimento,13125088763,,,,Camisa JACA JET - JUCS 2025,M,1,"R$ 40,00","R$ 40,00","R$ 40,00",Pix,,40.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Julia Silva Nascimento,Julia Silva Nascimento,13125088763,,,,Camisa JACA E RITA - JUCS 2025,M,1,"R$ 40,00","R$ 40,00","R$ 40,00",Pix,,40.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Julia Silva Nascimento,Julia Silva Nascimento,13125088763,,,,College ESPM RIO - JUCS 2025,M,1,"R$ 259,00","R$ 259,00","R$ 259,00",Pix,,259.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Julia Silva Nascimento,Julia Silva Nascimento,13125088763,,,,Bandana - JUCS 2025,U,1,"R$ 30,00","R$ 30,00","R$ 30,00",Pix,,30.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Julia Silva Nascimento,Julia Silva Nascimento,13125088763,,,,Camisa RITA - JUCS 2025,G,1,"R$ 40,00","R$ 40,00","R$ 40,00",Pix,,40.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Julia Silva Nascimento,Julia Silva Nascimento,13125088763,,,,Short Feminino - JUCS 2025,M,1,"R$ 50,00","R$ 50,00","R$ 50,00",Pix,,50.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Julia Silva Nascimento,Julia Silva Nascimento,13125088763,,,,Body ESPM RIO - JUCS 2025,P,1,"R$ 50,00","R$ 50,00","R$ 50,00",Pix,,50.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Julia Silva Nascimento,Julia Silva Nascimento,13125088763,,,,Boné 5 Panel - JUCS 2025,U,1,"R$ 46,00","R$ 46,00","R$ 46,00",Pix,,46.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Bernardo Nunes Cordeiro Ramos,marina brandao,16441852705,,21 99914-1399,,College ESPM RIO - JUCS 2025,G,1,"R$ 300,00","R$ 300,00","R$ 300,00",Pix,,300.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Manuela Bento de Azevedo Vieira,Manuela Bento de Azevedo Vieira,19975525741,,(21) 99602-2552,,Camisa JACA JET - JUCS 2025,G,1,"R$ 55,00","R$ 55,00","R$ 55,00",Pix,,55.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Manuela Bento de Azevedo Vieira,Manuela Bento de Azevedo Vieira,19975525741,,(21) 99602-2552,,College ESPM RIO - JUCS 2025,G,1,"R$ 240,00","R$ 240,00","R$ 240,00",Pix,,240.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Manuela Bento de Azevedo Vieira,Manuela Bento de Azevedo Vieira,19975525741,,(21) 99602-2552,,Bandana - JUCS 2025,U,1,"R$ 40,00","R$ 40,00","R$ 40,00",Pix,,40.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Manuela Bento de Azevedo Vieira,Manuela Bento de Azevedo Vieira,19975525741,,(21) 99602-2552,,Short Feminino - JUCS 2025,GG,1,"R$ 70,00","R$ 70,00","R$ 70,00",Pix,,70.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Bernardo Nunes Cordeiro Ramos,thiago,17087361740,,21 99914-1399,,College ESPM RIO - JUCS 2025,G,1,"R$ 300,00","R$ 300,00","R$ 300,00",Pix,,300.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Maria Rosetti Gorayeb,Maria Rosetti Gorayeb,14318006786,,(21) 99629-7770,,KIT Camisa + Tirante + Caneca + Tatuagem - JUCS 2025,M,1,"R$ 100,00","R$ 100,00","R$ 100,00",Pix,,100.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Maria Rosetti Gorayeb,Maria Rosetti Gorayeb,14318006786,,(21) 99629-7770,,Body ESPM RIO - JUCS 2025,P,1,"R$ 90,00","R$ 90,00","R$ 90,00",Pix,,90.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Maria Eduarda Martins Pereira,Maria Eduarda Martins Pereira,16438070726,,(21) 99502-4679,,KIT Camisa + Tirante + Caneca + Tatuagem - JUCS 2025,M,1,"R$ 100,00","R$ 100,00","R$ 100,00",Pix,,100.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Maria Eduarda Martins Pereira,Maria Eduarda Martins Pereira,16438070726,,(21) 99502-4679,,Bandana - JUCS 2025,U,1,"R$ 60,00","R$ 60,00","R$ 60,00",Pix,,60.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Bernardo Nunes Cordeiro Ramos,Joaquim da Rocha Lins Lobo de Almeida,19056544721,,21 99914-1399,,College ESPM RIO - JUCS 2025,M,1,"R$ 300,00","R$ 300,00","R$ 300,00",Pix,,300.0
Aprovado,Aplicativo,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Maria Clara de Mello,Maria Clara de Mello,16423166790,,,,Bandana - JUCS 2025,U,1,"R$ 32,70","R$ 32,70","R$ 30,00",Cartão de Crédito em 1 Vez(es),,32.7
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,clara medina,clara medina,19015906742,,,,College ESPM RIO - JUCS 2025,M,1,"R$ 259,00","R$ 259,00","R$ 259,00",Pix,,259.0
Aprovado,Aplicativo,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Bernardo,Bernardo,18394041752,,(21)99804-8585,,Corta Vento ESPM RIO - JUCS 2025,G,1,"R$ 266,40","R$ 266,40","R$ 245,00",Cartão de Crédito em 3 Vez(es),,266.4
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Luiz Alberto Nacimento Cavalheiros,Luiz Alberto Nacimento Cavalheiros,95029540768,.,(21) 98208-7220,,College ESPM RIO - JUCS 2025,G,1,"R$ 300,00","R$ 300,00","R$ 300,00",Pix,,300.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Arthur Freire Nadalutti,Arthur Freire Nadalutti,16603514729,,,,College ESPM RIO - JUCS 2025,G,1,"R$ 259,00","R$ 259,00","R$ 259,00",Pix,,259.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Arthur Freire Nadalutti,Arthur Freire Nadalutti,16603514729,,,,Corta Vento ESPM RIO - JUCS 2025,GG,1,"R$ 143,00","R$ 143,00","R$ 143,00",Pix,,143.0
Aprovado,Lojinha,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Gabriel Barreiro Reynozo da Silva,Gabriel Barreiro Reynozo da Silva,13073040790,,(21) 99771-1114,,KIT Camisa + Tirante + Caneca + Tatuagem - JUCS 2025,GG,1,"R$ 105,32","R$ 105,32","R$ 100,00",Pix,,105.32
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Maria Júlia Barbosa Almeida,Maria Júlia Barbosa Almeida,3918559211,,(21) 99220-4558,,CANECA ESPM Rio - JUCS 2025,U,1,"R$ 30,00","R$ 30,00","R$ 30,00",Pix,,30.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Maria Júlia Barbosa Almeida,Maria Júlia Barbosa Almeida,3918559211,,(21) 99220-4558,,Camisa JACA JET - JUCS 2025,G,1,"R$ 55,00","R$ 55,00","R$ 55,00",Pix,,55.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Maria Júlia Barbosa Almeida,Maria Júlia Barbosa Almeida,3918559211,,(21) 99220-4558,,College ESPM RIO - JUCS 2025,G,1,"R$ 240,00","R$ 240,00","R$ 240,00",Pix,,240.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Maria Júlia Barbosa Almeida,Maria Júlia Barbosa Almeida,3918559211,,(21) 99220-4558,,Meia (Azul e Branca) Dry fit - JUCS 2025,M,1,"R$ 40,00","R$ 40,00","R$ 40,00",Pix,,40.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Maria Júlia Barbosa Almeida,Maria Júlia Barbosa Almeida,3918559211,,(21) 99220-4558,,TIRANTE - JUCS 2025,U,1,"R$ 20,00","R$ 20,00","R$ 20,00",Pix,,20.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Maria Júlia Barbosa Almeida,Maria Júlia Barbosa Almeida,3918559211,,(21) 99220-4558,,Boné 5 Panel - JUCS 2025,U,1,"R$ 60,00","R$ 60,00","R$ 60,00",Pix,,60.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Beatriz Bastos,Beatriz Bastos,13171648733,,,,College ESPM RIO - JUCS 2025,P,1,"R$ 259,00","R$ 259,00","R$ 259,00",Pix,,259.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Beatriz Bastos,Beatriz Bastos,13171648733,,,,Bandana - JUCS 2025,U,1,"R$ 30,00","R$ 30,00","R$ 30,00",Pix,,30.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Beatriz Bastos,Beatriz Bastos,13171648733,,,,Body ESPM RIO - JUCS 2025,P,1,"R$ 50,00","R$ 50,00","R$ 50,00",Pix,,50.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Carolina Dorfman,Carolina Dorfman,12964628700,,(21)99666-3005,,Calça Moletom ESPM Rio - JUCS 2025,G,1,"R$ 160,00","R$ 160,00","R$ 160,00",Pix,,160.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Carolina Dorfman,Carolina Dorfman,12964628700,,(21)99666-3005,,Short Feminino - JUCS 2025,G,1,"R$ 90,00","R$ 90,00","R$ 90,00",Pix,,90.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Carolina Dorfman,Carolina Dorfman,12964628700,,(21)99666-3005,,Body ESPM RIO - JUCS 2025,M,1,"R$ 90,00","R$ 90,00","R$ 90,00",Pix,,90.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Veronica Machado,Veronica Machado,79120288700,,(21) 99775-9229,,College ESPM RIO - JUCS 2025,G,1,"R$ 300,00","R$ 300,00","R$ 300,00",Pix,,300.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Heitor Furtado,Heitor Furtado,14042859704,,,,Camisa JACA E RITA - JUCS 2025,GG,1,"R$ 40,00","R$ 40,00","R$ 40,00",Pix,,40.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Heitor Furtado,Heitor Furtado,14042859704,,,,College ESPM RIO - JUCS 2025,GG,1,"R$ 259,00","R$ 259,00","R$ 259,00",Pix,,259.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Heitor Furtado,Heitor Furtado,14042859704,,,,Boné 5 Panel - JUCS 2025,U,1,"R$ 46,00","R$ 46,00","R$ 46,00",Pix,,46.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Heitor Furtado,Heitor Furtado,14042859704,,,,Samba Canção - JUCS 2025,G,1,"R$ 45,00","R$ 45,00","R$ 45,00",Pix,,45.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,gabriela lira soares pinto,gabriela lira soares pinto,12755032766,,(21) 98109-4309,,KIT Camisa + Tirante + Caneca + Tatuagem - JUCS 2025,M,1,"R$ 65,00","R$ 65,00","R$ 65,00",Pix,,65.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,gabriela lira soares pinto,gabriela lira soares pinto,12755032766,,(21) 98109-4309,,Camisa JACA E RITA - JUCS 2025,M,1,"R$ 40,00","R$ 40,00","R$ 40,00",Pix,,40.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,gabriela lira soares pinto,gabriela lira soares pinto,12755032766,,(21) 98109-4309,,College ESPM RIO - JUCS 2025,M,1,"R$ 259,00","R$ 259,00","R$ 259,00",Pix,,259.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,gabriela lira soares pinto,gabriela lira soares pinto,12755032766,,(21) 98109-4309,,Boné 5 Panel - JUCS 2025,U,1,"R$ 46,00","R$ 46,00","R$ 46,00",Pix,,46.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,gabriela lira soares pinto,gabriela lira soares pinto,12755032766,,(21) 98109-4309,,Samba Canção - JUCS 2025,M,1,"R$ 45,00","R$ 45,00","R$ 45,00",Pix,,45.0
Aprovado,Aplicativo,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Maria Luiza,Maria Luiza,43441550846,,(11)99478-1251,,College ESPM RIO - JUCS 2025,M,1,"R$ 315,85","R$ 315,85","R$ 300,00",Pix,,315.85
Aprovado,Aplicativo,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Maria Luiza,Maria Luiza,43441550846,,(11)99478-1251,,Body ESPM RIO - JUCS 2025,P,1,"R$ 94,79","R$ 94,79","R$ 90,00",Pix,,94.79
Aprovado,Aplicativo,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Maria Luiza,Maria Luiza,43441550846,,(11)99478-1251,,Bandana - JUCS 2025,U,1,"R$ 63,21","R$ 63,21","R$ 60,00",Pix,,63.21
Aprovado,Aplicativo,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Maria Luiza,Maria Luiza,43441550846,,(11)99478-1251,,Camisa RITA - JUCS 2025,P,1,"R$ 79,00","R$ 79,00","R$ 75,00",Pix,,79.0
Aprovado,Aplicativo,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Maria Luiza,Maria Luiza,43441550846,,(11)99478-1251,,Boné 5 Panel - JUCS 2025,U,1,"R$ 94,79","R$ 94,79","R$ 90,00",Pix,,94.79
Aprovado,Aplicativo,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Maria Luiza,Maria Luiza,43441550846,,(11)99478-1251,,College ESPM RIO - JUCS 2025,M,1,"R$ 315,85","R$ 315,85","R$ 300,00",Pix,,315.85
Aprovado,Aplicativo,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Maria Luiza,Maria Luiza,43441550846,,(11)99478-1251,,Camisa JACA JET - JUCS 2025,G,1,"R$ 79,00","R$ 79,00","R$ 75,00",Pix,,79.0
Aprovado,Aplicativo,14/03/2025,Atlética ESPM Rio,Maria Luiza,Alexia,Noah Moreira,378.104.592-79,,+55 (061) 4923-6998,,Bandana - JUCS 2025,M,1,"R$ 22,66","R$ 22,66","R$ 22,06",Débito,,
Aprovado,Baixa Manual,22/03/2025,Atlética ESPM Rio,Atlética ESPM Rio,Juan,Thomas Moura,078.294.136-22,,11 1781-1238,,CANECA ESPM Rio - JUCS 2025,G,1,"R$ 99,96","R$ 99,96","R$ 94,14",Pix,,
Aprovado,Baixa Manual,27/04/2025,Atlética ESPM Rio,Atlética ESPM Rio,Stella,Isaac Cardoso,523.096.847-83,,(011) 5137 0372,,College ESPM RIO - JUCS 2025,GG,1,"R$ 85,77","R$ 85,77","R$ 77,52",Crédito,,
Aprovado,Baixa Manual,21/04/2025,Atlética ESPM Rio,Heitor Furtado,Vicente,Breno Barbosa,621.753.908-02,,0300 105 7755,,PACK De Adesivos - JUCS 2025,G,1,"R$ 141,70","R$ 141,70","R$ 135,11",Crédito,,
Aprovado,Baixa Manual,17/04/2025,Atlética ESPM Rio,Maria Luiza,Raul,Thiago Fernandes,872.369.045-38,,+55 (021) 8658-0413,,Samba Canção - JUCS 2025,P,1,"R$ 163,80","R$ 163,80","R$ 150,78",Crédito,,
Aprovado,Baixa Manual,26/04/2025,Atlética ESPM Rio,Heitor Furtado,Maria Eduarda,Ana Beatriz Moura,109.426.375-34,,+55 11 5569-2324,,Calça Moletom ESPM Rio - JUCS 2025,GG,1,"R$ 143,79","R$ 143,79","R$ 132,34",Crédito,,
Aprovado,Aplicativo,08/04/2025,Atlética ESPM Rio,Heitor Furtado,Pietra,Mariana Viana,729.014.536-43,,0300-169-1867,,Bandana - JUCS 2025,GG,1,"R$ 94,42","R$ 94,42","R$ 90,64",Pix,,
Aprovado,Aplicativo,18/03/2025,Atlética ESPM Rio,Heitor Furtado,Isaac,Dra. Olivia Pereira,489.106.735-75,,+55 (011) 3514-4488,,Body ESPM RIO - JUCS 2025,M,1,"R$ 112,46","R$ 112,46","R$ 102,25",Crédito,,
Aprovado,Aplicativo,18/04/2025,Atlética ESPM Rio,Maria Luiza,João Miguel,João Miguel Oliveira,109.435.628-05,,+55 (051) 1923 2003,,Camisa RITA - JUCS 2025,G,1,"R$ 29,34","R$ 29,34","R$ 27,75",Crédito,,
Aprovado,Aplicativo,01/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Lorena,Vitor Castro,358.960.241-42,,+55 (061) 6069-8140,,Meia (Azul e Branca) Dry fit - JUCS 2025,U,1,"R$ 147,20","R$ 147,20","R$ 140,35",Débito,,
Aprovado,Baixa Manual,06/04/2025,Atlética ESPM Rio,Maria Luiza,Pedro Lucas,Brenda Moraes,418.276.503-62,,11 9687-8188,,Short Feminino - JUCS 2025,U,1,"R$ 236,59","R$ 236,59","R$ 220,86",Pix,,
Aprovado,Aplicativo,07/05/2025,Atlética ESPM Rio,Maria Luiza,Cecília,Dr. Luiz Gustavo da Costa,074.352.168-44,,+55 11 2371-6481,,Meia (Azul e Branca) Dry fit - JUCS 2025,P,1,"R$ 200,60","R$ 200,60","R$ 183,42",Débito,,
Aprovado,Aplicativo,21/04/2025,Atlética ESPM Rio,Heitor Furtado,Eduardo,Laura Santos,468.251.739-28,,+55 (021) 8717 7503,,PACK De Adesivos - JUCS 2025,GG,1,"R$ 100,18","R$ 100,18","R$ 96,08",Débito,,
Aprovado,Aplicativo,11/05/2025,Atlética ESPM Rio,Maria Luiza,Maria Fernanda,Samuel Cardoso,842.901.356-33,,+55 (021) 3084-2189,,Bandana - JUCS 2025,U,1,"R$ 188,44","R$ 188,44","R$ 170,39",Débito,,
Aprovado,Aplicativo,22/03/2025,Atlética ESPM Rio,Atlética ESPM Rio,Bárbara,Elisa Nascimento,023.567.194-07,,(021) 2875 8684,,College ESPM RIO - JUCS 2025,G,1,"R$ 220,35","R$ 220,35","R$ 207,52",Pix,,
Aprovado,Baixa Manual,03/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Vitor Hugo,Srta. Camila da Conceição,637.521.480-71,,+55 71 0159-0861,,Body ESPM RIO - JUCS 2025,P,1,"R$ 29,48","R$ 29,48","R$ 28,19",Débito,,
